obs,individual,group,dominance_rank,date,Temp,age,known/estimate,birthday,Column1,brow_width,muzzle_width,facial_width,facial_length,scrotum_width,left_test_length,right_test_length,body_length 
1,BD,AD,a,2022.09.14,25.05,12.07,known ,8/20/10,9/14/22,na,na,na,na,na,na,na,na
2,BD,AD,a,2022.10.03,25.8,12.12,known ,8/20/10,10/3/22,na,na,na,na,na,na,na,na
3,BD,AD,a,2022.11.15,25,12.24,known ,8/20/10,11/15/22,na,na,na,na,na,na,na,na
4,BD,AD,a,2022.12.01,25.15,12.28,known ,8/20/10,12/1/22,na,na,na,na,na,na,na,na
5,BD,AD,a,2022.12.13,25.2,12.31,known ,8/20/10,12/13/22,57.5625,39.22416667,68.5575,36.93416667,na,na,na,na
6,BD,AD,a,2023.02.17,28.2,12.49,known ,8/20/10,2/17/23,na,na,na,na,na,na,na,246.815
7,BD,AD,a,2023.03.02,28.55,12.53,known ,8/20/10,3/2/23,61.60333333,41.175,68.63666667,39.1,na,na,na,na
8,BD,AD,a,2023.03.03,28.95,12.53,known ,8/20/10,3/3/23,na,na,na,na,na,na,na,248.59
9,BD,AD,a,2023.03.17,28.75,12.57,known ,8/20/10,3/17/23,na,na,na,na,28.04,18.095,17.97,na
10,BD,AD,a,2023.04.27,29.8,12.69,known ,8/20/10,4/27/23,60.2247191,39.03370787,59.12359551,na,27.5525,na,na,247.579086
11,BD,AD,a,2023.05.22,30.85,12.76,known ,8/20/10,5/22/23,na,na,na,na,na,na,na,241.26
12,BD,AD,a,2023.07.20,29.85,12.92,known ,8/20/10,7/20/23,na,na,na,na,29.30333333,na,na,na
13,BD,AD,a,2023.08.04,29.5,12.96,known ,8/20/10,8/4/23,na,na,na,na,27.76402778,19.19866834,19.38522613,241.7566667
14,BD,AD,a,2023.08.30,28.75,13.03,known ,8/20/10,8/30/23,na,na,na,na,na,na,na,na
15,BD,AD,a,2023.09.14,29.25,13.07,known ,8/20/10,9/14/23,54.54037119,39.44067259,65.07296954,35.25475888,na,na,na,na
16,BD,AD,a,2023.10.26,25.65,13.18,known ,8/20/10,10/26/23,60.07572324,41.95312781,68.63591327,39.67262272,26.96538462,na,na,na
17,BD,AD,a,2023.11.10,27.05,13.22,known ,8/20/10,11/10/23,na,na,na,na,27.11752635,na,na,na
18,BD,AD,a,2024.01.17,26.2,13.41,known ,8/20/10,1/17/24,na,na,na,na,na,na,na,244.36
19,BD,AD,a,2024.01.25,27,13.43,known ,8/20/10,1/25/24,63.05430702,40.11649861,na,38.13985733,na,na,na,na
20,BD,AD,a,2024.02.23,27.5,13.51,known ,8/20/10,2/23/24,61.27864583,40.8984375,67.65104167,37.35677083,na,na,na,na
21,BD,AD,a,2024.03.08,28.4,13.55,known ,8/20/10,3/8/24,64.62816456,40.78955696,68.74367089,39.64556962,29.17,na,na,282.0812102
22,BD,AD,a,2024.03.21,29,13.59,known ,8/20/10,3/21/24,60.59,40.44,na,37.68,27.38176597,17.1783129,16.78608362,na
23,BD,AD,a,2024.04.04,30.1,13.62,known ,8/20/10,4/4/24,na,na,na,na,25.54893964,na,na,na
24,BS,LV,s,2023.07.10,28.1,6.37,known ,2/28/17,7/10/23,56.42310635,39.02448355,60.26013772,32.57077276,na,na,na,256.5261628
25,BS,LV,s,2023.07.26,29.2,6.41,known ,2/28/17,7/26/23,56.85947013,37.99682884,na,36.88525166,na,na,na,na
26,BS,LV,s,2023.08.08,26.6,6.45,known ,2/28/17,8/8/23,57.90919496,40.05425832,54.82904898,35.30804827,na,na,na,na
27,BY,LV,a,2022.08.11,25.35,19.61,estimate,1/1/03,8/11/22,na,na,na,na,na,na,na,na
28,BY,LV,a,2022.09.06,26.45,19.68,estimate,1/1/03,9/6/22,na,na,na,na,na,na,na,na
29,BY,LV,a,2022.10.11,26.15,19.78,estimate,1/1/03,10/11/22,na,na,na,na,na,na,na,na
30,BY,LV,a,2022.10.24,25.85,19.81,estimate,1/1/03,10/24/22,57,37.15,64.66,na,na,na,na,na
31,BY,LV,a,2022.11.09,24.75,19.86,estimate,1/1/03,11/9/22,na,na,na,na,na,na,na,na
32,BY,LV,a,2022.11.24,25.35,19.90,estimate,1/1/03,11/24/22,57.24,38.97,64.02,40.28,na,na,na,na
33,BY,LV,a,2022.12.06,24.65,19.93,estimate,1/1/03,12/6/22,na,na,na,na,na,na,na,na
34,BY,LV,a,2023.02.09,27.7,20.11,estimate,1/1/03,2/9/23,57.52,39.21,64.41,38.16,30,19.63,19.76,261.78
35,BY,LV,a,2023.02.24,27.7,20.15,estimate,1/1/03,2/24/23,59.54,37.47,64.26,38.36,na,na,na,na
36,BY,LV,a,2023.03.23,27.85,20.23,estimate,1/1/03,3/23/23,55.79666667,37.62,64.84,37.16,31.38,20.73,20.68,262.53
37,BY,LV,a,2023.03.24,28.85,20.23,estimate,1/1/03,3/24/23,56.98,38.16,64.2,37.18,na,na,na,na
38,CG,AD,s,2021.04.21,29,9.91,known ,5/24/11,4/21/21,na,na,na,na,23.91333333,16.11333333,18.74333333,na
39,CG,AD,s,2021.09.21,26.05,10.33,known ,5/24/11,9/21/21,57.02333333,39.76,69.5,37.05666667,na,na,na,na
40,CG,AD,s,2021.12.21,25.75,10.57,known ,5/24/11,12/21/21,63.79,44.62666667,72.34283333,38.53666667,na,na,na,na
41,CG,AD,s,2023.03.02,28.55,11.77,known ,5/24/11,3/2/23,na,na,na,na,26.29666667,17.48666667,17.46333333,na
42,CG,AD,s,2023.03.03,28.95,11.77,known ,5/24/11,3/3/23,62.23,41.54333333,61.06666667,39.04712584,na,na,na,235.94
43,CG,AD,s,2023.03.17,28.75,11.81,known ,5/24/11,3/17/23,na,na,na,na,26.145,17.805,18.655,na
44,CG,AD,s,2023.04.27,29.8,11.92,known ,5/24/11,4/27/23,61.92923248,41.20994957,60.7002214,37.10685484,25.65857143,na,na,240.085
45,CG,AD,s,2023.05.22,30.85,11.99,known ,5/24/11,5/22/23,na,na,na,na,na,na,na,236.6929674
46,CG,AD,s,2023.07.20,29.85,12.15,known ,5/24/11,7/20/23,59.83056646,40.3051996,62.75245488,37.95012436,24.87055556,na,na,na
47,CG,AD,s,2023.10.26,25.65,12.42,known ,5/24/11,10/26/23,61.37806072,42.30484819,69.42384917,36.09647256,27.14440994,17.17546584,17.83540373,na
48,CG,AD,s,2023.11.10,27.05,12.46,known ,5/24/11,11/10/23,56.52667672,38.49476182,na,37.23772049,na,na,na,na
49,CG,AD,s,2023.12.07,29.1,12.54,known ,5/24/11,12/7/23,na,na,na,na,27.01573663,na,na,na
50,CG,AD,s,2024.03.08,28.4,12.79,known ,5/24/11,3/8/24,58.02261378,38.27916746,53.73371078,36.76629215,24.81816608,16.24587268,16.61806909,219.544964
51,CG,AD,s,2024.03.21,29,12.82,known ,5/24/11,3/21/24,57.56224354,40.12734981,60.90480274,33.99826606,26.06798569,18.42852901,19.71100089,227.4221053
52,CZ,RM,s,2021.04.13,29.55,15.28,estimate,1/1/06,4/13/21,59.85,41.14,62.37,33.87,na,na,na,na
53,CZ,RM,s,2021.09.22,26.45,15.72,estimate,1/1/06,9/22/21,60.43,40.57,61.24,34.28,na,na,na,na
54,CZ,RM,s,2021.12.19,26.3,15.97,estimate,1/1/06,12/19/21,60.59,41.46,na,32.68,na,na,na,na
55,CZ,RM,s,2021.12.30,26.55,16.00,estimate,1/1/06,12/30/21,59.64,41.61,64.09,31.96833333,na,na,na,na
56,CZ,RM,s,2022.02.04,28.05,16.09,estimate,1/1/06,2/4/22,na,na,na,na,na,na,na,257.22
57,CZ,RM,s,2022.03.31,30.1,16.25,estimate,1/1/06,3/31/22,57.44,39.77,na,31.4,na,na,na,252.21
58,CZ,RM,s,2022.04.14,28.7,16.29,estimate,1/1/06,4/14/22,60.86,41.6,61.41,35.78,na,na,na,262.87
59,CZ,RM,s,2022.04.29,29.15,16.33,estimate,1/1/06,4/29/22,na,na,na,na,25.54,17.47,17.98,na
